Name,Title,Title_count,Title_mean
"Braund, Mr. Owen Harris",Mr,0,0
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Mr,0,0
"Heikkinen, Miss. Laina",Mr,0,0
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Mr,0,0
"Allen, Mr. William Henry",Mr,0,0
"Moran, Mr. James",Mr,0,0
"McCarthy, Mr. Timothy J",Mr,0,0
"Palsson, Master. Gosta Leonard",Mr,0,0
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Mr,0,0
"Nasser, Mrs. Nicholas (Adele Achem)",Mr,0,0
"Sandstrom, Miss. Marguerite Rut",Mr,0,0
"Bonnell, Miss. Elizabeth",Mr,0,0
"Saundercock, Mr. William Henry",Mr,0,0
"Andersson, Mr. Anders Johan",Mr,0,0
"Vestrom, Miss. Hulda Amanda Adolfina",Mr,0,0
"Hewlett, Mrs. (Mary D Kingcome) ",Mr,0,0
"Rice, Master. Eugene",Mr,0,0
"Williams, Mr. Charles Eugene",Mr,0,0
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Mr,0,0
"Masselmani, Mrs. Fatima",Mr,0,0
"Fynney, Mr. Joseph J",Mr,0,0
"Beesley, Mr. Lawrence",Mr,0,0
"McGowan, Miss. Anna ""Annie""",Mr,0,0
"Sloper, Mr. William Thompson",Mr,0,0
"Palsson, Miss. Torborg Danira",Mr,0,0
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Mr,0,0
"Emir, Mr. Farred Chehab",Mr,0,0
"Fortune, Mr. Charles Alexander",Mr,0,0
"O'Dwyer, Miss. Ellen ""Nellie""",Mr,0,0
"Todoroff, Mr. Lalio",Mr,0,0
"Uruchurtu, Don. Manuel E",Mr,0,0
"Spencer, Mrs. William Augustus (Marie Eugenie)",Mr,0,0
"Glynn, Miss. Mary Agatha",Mr,0,0
"Wheadon, Mr. Edward H",Mr,0,0
"Meyer, Mr. Edgar Joseph",Mr,0,0
"Holverson, Mr. Alexander Oskar",Mr,0,0
"Mamee, Mr. Hanna",Mr,0,0
"Cann, Mr. Ernest Charles",Mr,0,0
"Vander Planke, Miss. Augusta Maria",Mr,0,0
"Nicola-Yarred, Miss. Jamila",Mr,0,0
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Mr,0,0
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Mr,0,0
"Kraeff, Mr. Theodor",Mr,0,0
"Laroche, Miss. Simonne Marie Anne Andree",Mr,0,0
"Devaney, Miss. Margaret Delia",Mr,0,0
"Rogers, Mr. William John",Mr,0,0
"Lennon, Mr. Denis",Mr,0,0
"O'Driscoll, Miss. Bridget",Mr,0,0
"Samaan, Mr. Youssef",Mr,0,0
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Mr,0,0
"Panula, Master. Juha Niilo",Mr,0,0
"Nosworthy, Mr. Richard Cater",Mr,0,0
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Mr,0,0
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Mr,0,0
"Ostby, Mr. Engelhart Cornelius",Mr,0,0
"Woolner, Mr. Hugh",Mr,0,0
"Rugg, Miss. Emily",Mr,0,0
"Novel, Mr. Mansouer",Mr,0,0
"West, Miss. Constance Mirium",Mr,0,0
"Goodwin, Master. William Frederick",Mr,0,0
"Sirayanian, Mr. Orsen",Mr,0,0
"Icard, Miss. Amelie",Mr,0,0
"Harris, Mr. Henry Birkhardt",Mr,0,0
"Skoog, Master. Harald",Mr,0,0
"Stewart, Mr. Albert A",Mr,0,0
"Moubarek, Master. Gerios",Mr,0,0
"Nye, Mrs. (Elizabeth Ramell)",Mr,0,0
"Crease, Mr. Ernest James",Mr,0,0
"Andersson, Miss. Erna Alexandra",Mr,0,0
"Kink, Mr. Vincenz",Mr,0,0
"Jenkin, Mr. Stephen Curnow",Mr,0,0
"Goodwin, Miss. Lillian Amy",Mr,0,0
"Hood, Mr. Ambrose Jr",Mr,0,0
"Chronopoulos, Mr. Apostolos",Mr,0,0
"Bing, Mr. Lee",Mr,0,0
"Moen, Mr. Sigurd Hansen",Mr,0,0
"Staneff, Mr. Ivan",Mr,0,0
"Moutal, Mr. Rahamin Haim",Mr,0,0
"Caldwell, Master. Alden Gates",Mr,0,0
"Dowdell, Miss. Elizabeth",Mr,0,0
"Waelens, Mr. Achille",Mr,0,0
"Sheerlinck, Mr. Jan Baptist",Mr,0,0
"McDermott, Miss. Brigdet Delia",Mr,0,0
"Carrau, Mr. Francisco M",Mr,0,0
"Ilett, Miss. Bertha",Mr,0,0
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Mr,0,0
"Ford, Mr. William Neal",Mr,0,0
"Slocovski, Mr. Selman Francis",Mr,0,0
"Fortune, Miss. Mabel Helen",Mr,0,0
"Celotti, Mr. Francesco",Mr,0,0
"Christmann, Mr. Emil",Mr,0,0
"Andreasson, Mr. Paul Edvin",Mr,0,0
"Chaffee, Mr. Herbert Fuller",Mr,0,0
"Dean, Mr. Bertram Frank",Mr,0,0
"Coxon, Mr. Daniel",Mr,0,0
"Shorney, Mr. Charles Joseph",Mr,0,0
"Goldschmidt, Mr. George B",Mr,0,0
"Greenfield, Mr. William Bertram",Mr,0,0
"Doling, Mrs. John T (Ada Julia Bone)",Mr,0,0
"Kantor, Mr. Sinai",Mr,0,0
"Petranec, Miss. Matilda",Mr,0,0
"Petroff, Mr. Pastcho (""Pentcho"")",Mr,0,0
"White, Mr. Richard Frasar",Mr,0,0
"Johansson, Mr. Gustaf Joel",Mr,0,0
"Gustafsson, Mr. Anders Vilhelm",Mr,0,0
"Mionoff, Mr. Stoytcho",Mr,0,0
"Salkjelsvik, Miss. Anna Kristine",Mr,0,0
"Moss, Mr. Albert Johan",Mr,0,0
"Rekic, Mr. Tido",Mr,0,0
"Moran, Miss. Bertha",Mr,0,0
"Porter, Mr. Walter Chamberlain",Mr,0,0
"Zabour, Miss. Hileni",Mr,0,0
"Barton, Mr. David John",Mr,0,0
"Jussila, Miss. Katriina",Mr,0,0
"Attalah, Miss. Malake",Mr,0,0
"Pekoniemi, Mr. Edvard",Mr,0,0
"Connors, Mr. Patrick",Mr,0,0
"Turpin, Mr. William John Robert",Mr,0,0
"Baxter, Mr. Quigg Edmond",Mr,0,0
"Andersson, Miss. Ellis Anna Maria",Mr,0,0
"Hickman, Mr. Stanley George",Mr,0,0
"Moore, Mr. Leonard Charles",Mr,0,0
"Nasser, Mr. Nicholas",Mr,0,0
"Webber, Miss. Susan",Mr,0,0
"White, Mr. Percival Wayland",Mr,0,0
"Nicola-Yarred, Master. Elias",Mr,0,0
"McMahon, Mr. Martin",Mr,0,0
"Madsen, Mr. Fridtjof Arne",Mr,0,0
"Peter, Miss. Anna",Mr,0,0
"Ekstrom, Mr. Johan",Mr,0,0
"Drazenoic, Mr. Jozef",Mr,0,0
"Coelho, Mr. Domingos Fernandeo",Mr,0,0
"Robins, Mrs. Alexander A (Grace Charity Laury)",Mr,0,0
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Mr,0,0
"Sobey, Mr. Samuel James Hayden",Mr,0,0
"Richard, Mr. Emile",Mr,0,0
"Newsom, Miss. Helen Monypeny",Mr,0,0
"Futrelle, Mr. Jacques Heath",Mr,0,0
"Osen, Mr. Olaf Elon",Mr,0,0
"Giglio, Mr. Victor",Mr,0,0
"Boulos, Mrs. Joseph (Sultana)",Mr,0,0
"Nysten, Miss. Anna Sofia",Mr,0,0
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Mr,0,0
"Burke, Mr. Jeremiah",Mr,0,0
"Andrew, Mr. Edgardo Samuel",Mr,0,0
"Nicholls, Mr. Joseph Charles",Mr,0,0
"Andersson, Mr. August Edvard (""Wennerstrom"")",Mr,0,0
"Ford, Miss. Robina Maggie ""Ruby""",Mr,0,0
"Navratil, Mr. Michel (""Louis M Hoffman"")",Mr,0,0
"Byles, Rev. Thomas Roussel Davids",Mr,0,0
"Bateman, Rev. Robert James",Mr,0,0
"Pears, Mrs. Thomas (Edith Wearne)",Mr,0,0
"Meo, Mr. Alfonzo",Mr,0,0
"van Billiard, Mr. Austin Blyler",Mr,0,0
"Olsen, Mr. Ole Martin",Mr,0,0
"Williams, Mr. Charles Duane",Mr,0,0
"Gilnagh, Miss. Katherine ""Katie""",Mr,0,0
"Corn, Mr. Harry",Mr,0,0
"Smiljanic, Mr. Mile",Mr,0,0
"Sage, Master. Thomas Henry",Mr,0,0
"Cribb, Mr. John Hatfield",Mr,0,0
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Mr,0,0
"Bengtsson, Mr. John Viktor",Mr,0,0
"Calic, Mr. Jovo",Mr,0,0
"Panula, Master. Eino Viljami",Mr,0,0
"Goldsmith, Master. Frank John William ""Frankie""",Mr,0,0
"Chibnall, Mrs. (Edith Martha Bowerman)",Mr,0,0
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Mr,0,0
